Item Number,Item,Item Tagged with Number for Copy/Pasting,2022 RFP Inclusion Status,Item Owner,Validated by Owner,Location (Statewide vs. targeted cities/counties/ZIPS),Health Plan Contact(s),National Contact(s),Functional Area,Description (CAPABILITY DESCRIPTION),"Selling Points (HOW IT'S IMPORTANT TO NM)
- What does the state want to hear about this?
- How can we best explain the value of this?",Population Impacted/Targeted,"Data Demonstrating Effect
- Consider both outcome metrics (e.g. improved utilization rates or quality metrics) and process metrics (number of members/providers engaged, activities performed, etc.)
INTENDED RESULTS/PROOF POINT","Data Demonstrating Need
- What data best illustrates the problem this solution is solving?
WHY? (Pop Health data/Go to Market)",Link to Documentation,Existing or New in RFP,Table Stakes or Differentiation,"PopHealth Strategy: Empower Members
(direct-to-member)","PopHealth Strategy: Evolve Care
(provider & health system)","PopHealth Strategy: Engage Communities
(beyond our members/ providers)",Maternity and NICU,Access to Care,LTSS,SDOH,Care Coordination,Justice Involved,Member Experience,CISC (Children in State Custody),Native Americans,Young Adult_Kids,Community_Based_HP,Behavioral Health,Notes/Comments,VAB Flag ,Clinical Integration ,PMPM,DOA Capital Size
Err:522,Community health fairs ,Community health fairs  (RFP Cat. #141),In Consideration,Linda Atencio,,Statewide,Tracy Townsend,,Member Engagement,Community Health Fairs meant to increase health awareness and provide health and wellness education and prevention information. ,"To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM",all,,"Preventing screening (blood pressure, sugar test, 10 questions to check your wellness with a clinical person doing biometrical screening ",NA ,,,,,,,,,Empower Members,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,OmniChannel IVRL,OmniChannel IVRL (RFP Cat. #142),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Timothy Gandy,Member Engagement,"Focuses on the members preferred way to be contacted. We use Text, Email and IVR calling based on their preference. Includes immunization/flu/dental/annual checkup. ","To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,OmniChannel IVRL,OmniChannel IVRL (RFP Cat. #143),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Timothy Gandy,Member Engagement,"The EPSDT (Early, Periodic, Screening, Diagnosis, and Treatment) IVR calls are proactive IVR automated calls made to members to remind them to schedule EPSDT (Comprehensive Well Care) Visits for their children 0 through 20 years of age.","To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,TTEC Live Calling,TTEC Live Calling (RFP Cat. #144),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Timothy Gandy,Member Engagement,Live agents make outbound calls to members and assists them with appointment scheduling through a 3-way call with clinic scheduling staff. Reminder calls and follow-up calls are also made where rescheduling is completed if neede,"To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,Alegis,Alegis (RFP Cat. #145),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Timothy Gandy,Member Engagement,"completed if needed. table stake) (investment for 8,891 members $1,600)
Alegis (in home visits- WCV): provides in home and telehealth comprehensive health risk assessments to close gaps in care, related to specific measures through a program allowing health plan customers to access quality medical care by a licensed physician, physician assistant and nurse practitioners. Prior to receiving an outreach phone call, members with identified gaps in care will receive mailers from the Health Plan introducing the member to Alegis.","To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,Member rewards,Member rewards (RFP Cat. #146),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Timothy Gandy,Member Engagement,"offers incentives to members, in the form of gift cards to motivate them to schedule appointments and close gaps in care","To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,Let’sGetChecked program ,Let’sGetChecked program  (RFP Cat. #147),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Timothy Gandy,Member Engagement,"provides in-home testing kits through direct mailing. Available testing kits include lead screening for children, chlamydia screening in women and HbA1c. Results are reported to the member and primary care provider. Targeted HEDIS Measures: LSC, CHL","To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,Behavioral Health member outreach ,Behavioral Health member outreach  (RFP Cat. #148),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Sara Rippe,Member Engagement,"encourages identified members with targeted gaps in care to contact their healthcare provider. An email is sent to the member or parents/guardians providing education on taking medication as prescribed and keeping scheduled appointments. They are encouraged to speak with their healthcare provider about resources, education, and medical needs. ","To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,HPV email campaign ,HPV email campaign  (RFP Cat. #149),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Sara Rippe,Member Engagement,provides education and resource information on the importance of getting vaccinated against HPV,"To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,Medication Adherence email ,Medication Adherence email  (RFP Cat. #150),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Jim Hanowsky,Member Engagement,email campaign encourages members with chronic health conditions to discuss medication adherence with their PCP. Discussions center around education and resource information,"To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,National virtual visit email campaign ,National virtual visit email campaign  (RFP Cat. #151),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Sara Rippe,Member Engagement,provides education and resources on virtual visits. Email is sent to all members over 18 & parents/guardians of children.,"To  increase immunization and wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,Vaccine Adherence in Kids,Vaccine Adherence in Kids (RFP Cat. #152),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Sara Rippe,Member Engagement,Postcard mailing & IVR call designed to educate parents/guardians about the benefits of immunizations and remind them to schedule well visits,"To  increase immunization and wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,Pilot- Doctor Chat- ,Pilot- Doctor Chat-  (RFP Cat. #153),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Sara Rippe,Member Engagement,WCV- PA 12yr-17yr- prevention & Wellness tool to speak to in general. ,"To  increase immunization and wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,OBH express access,OBH express access (RFP Cat. #154),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Sara Rippe,Member Engagement,Specialized BH access that allows people to be seen 5 days sooner than industry standards – verify with OBH access to pediatric BH providers who take Medicaid and are contracted for Express Access ,"To  increase immunization and wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Differentiator,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,Emocha Health,Emocha Health (RFP Cat. #155),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Jen Janowski,Member Engagement,,"To  increase immunization and wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,2022 CS Clinical Program Delivery Sales Deck v5 (002).pptx,New in RFP,Table Stakes,X,,,,,,Differentiating Member Support,Delivery Services & Support,,Member Support_Intervention,,,Wellness and prevention,,,,,,,
Err:522,Ask Auntie,Ask Auntie (RFP Cat. #156),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Heidi Strickler,Member Services,"There is a Native American teensFree website called  WeRNative that has a feature call ""ask Auntie."" Teens or young adults can access to ask all type the quesitions to their Autie in a safe space. This website has a repository database with all the questions an answers for other to consult.","To  increase immunization and wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,https://www.wernative.org/ayr-questions/hey-auntie-i-keep-hearing-a-lot-of-scary-things-about-fentanyl-whats-the-deal,New in RFP,Table Stakes,X,,,,Virtually-Enabled,,Differentiating Member Support,,,Member Engagement,,Member support_Intervention,Wellness and prevention,,,,,,,
Err:522,Healthy movement program,Healthy movement program (RFP Cat. #157),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,,Member Engagement,"Our Social Responsibility Team has a program to engage in playground builds. Health plans can identify schools, community parks, or CBOs in need of playgrounds or playground updates and engage in a team building activity to donate and build a new playground where kids can engage in play and healthy movement, which is good for their social, emotional, and physical development.","To  increasewellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,,New in RFP,Table Stakes,X,,,,,,Empower Members,,,Empower Members_SDOH elimination,,Empowering members ande communities,Enhance community to thrive kids_young adults,,,,,,,
Err:522,Literacy Program,Literacy Program (RFP Cat. #158),In Consideration,Kelly Shusko/Heidi Strickler,,Statewide,Tracy Townsend,,Value-Added Benefit,"Particularly for younger children increasing their ability to connect with books and hear more positive words improves not only their emotional, but also their physical health. Plans can contribute book bundles to schools and engage in a “reading day” where one or more health plan representatives have “story time” in classrooms. ( Scholastic Book Fairs ","To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,Checking with Scholastic & MO,New in RFP,Table Stakes,X,,X,,,,Empower Members,,,Empower Members_SDOH elimination,,Empowering members ande communities,Enhance community to thrive kids_young adults,,,,Confirm with Heidi - Yes? ,,,
Err:522,Dating Matters ,Dating Matters  (RFP Cat. #159),In Consideration,Heidi Strickler,,Statewide,Tracy Townsend,Heidi Strickler,Value-Added Benefit,a program for 6th-8th graders to be conducted in schools that teaches social and emotional skills to help build healthy relationships and reduce dating violence. Free online course for the facilitator (Full strategy needs to be built),"To  increase wellness in our kids and young adults populations, UHC has differente member engagement campaigs that will be offered in NM - assist with decreasing disorders of despair through reducing exposure to ACES by helping kids be prepared for healthy relationships & reducing dating violence","Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,https://www.cdc.gov/violenceprevention/intimatepartnerviolence/datingmatters/index.html,New in RFP,Differentiator,X,,X,,,,Empower Members,,,Empower Members_SDOH elimination,Supporting kids and Young Adults to thrive,Empowering members ande communities,Enhance community to thrive kids_young adults,,,,Confirm with heidi - No? ,,,
Err:522,STOMP Out Bullying,STOMP Out Bullying (RFP Cat. #160),In Consideration,Heidi Strickler,,Statewide,Tracy Townsend,Heidi Strickler,Value-Added Benefit,"national nonprofit organization focused on changing the culture for all students both in school and online. It focuses on peer mentoring programs, PSAs by celebrities, and social media campaigns. Partnering with this organization to support both funding and school programs serves as a preventive means for increasing the health and wellbeing of youth",Funding provided to support bullying prevention and mental health support organization for youth who have been bullied which helps decrease ACES and diseases of despair,"Young Adults, Kids","Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,https://www.stompoutbullying.org/,New in RFP,Differentiator,X,,X,,,,Empower Members,,,Empower Members_SDOH elimination,Supporting kids and Young Adults to thrive,Empowering members ande communities,Enhance community to thrive kids_young adults,,,,Confirm with Heidi - Yes? ,,,
Err:522,LAWW,LAWW (RFP Cat. #161),In Consideration,Sam Marcario,,Statewide,Tracy Townsend,Heidi Strickler,Member Engagement,The Transgender Resource Center of New Mexico (TGRCNM) is a community organization that has provided a wide range of services to Albuquerque and surrounding communities for more than 15 years.,"TGRCNM also offers training and education programs to community stakeholders to help them better understand and become allies of and advocates for transgender individuals. The Transgender Cultural Fluency Training is a 2-hour introductory training that provides a foundation for participants to learn more about what it means to be transgender. The training works to clarify common misconceptions about transgender identity and encourages trainees to become familiar with the challenges transgender communities face. TGRCNM has conducted more than 3,000 trainings nationwide and across sectors, including law enforcement, healthcare providers, faith organizations, educational institutions, and private businesses.","Young Adults, Kids, Justice Involved",LAWW is a NM specific community based org. ,,"•Transgender Resource Center of New Mexico: Support, Community, and Connection for Transgender Individuals Involved in the Criminal Justice System (prainc.com)",Existing,Table Stakes,X,,X,,,,Empower Members,,Leverage Providers/Community Support,Member Support_Intervention,Supporting kids and Young Adults to thrive,Empowering members ande communities,Empowering Kids/Young Adults to become their better self,Community Investment,Suicide Prevention,,,,,
Err:522,Wellhop,Wellhop (RFP Cat. #162),Committed,Kathryn Spiess ,,Statewide,Tracy Townsend,Kathryn Spiess ,Value-Added Benefit,"
UHC-developed virtual prenatal support program, modeled on in-person group prenatal care models. Members are assigned to a cohort based on gestational age and participate in facilitated group sessions with other members of similar gestational age. Members additionally have access to an extensive library of perinatal education content and online forums to connect with their peers between facilitated sessions. ","Wellhop, our virtual group prenatal support program, empowers pregnant members to engage in care and prepare for birth/postpartum through access to educational content, peer to peer support, and facilitated group discussions. ",Pregnant Women,The most recent MedEcon data is pending.,"Rural barriers to care and maternity care deserts (34% of NM counties are maternity deserts)1
Clinical workforce shortage (50% of NM counties are below the national benchmark of OB-GYNs)2
High rates of perinatal SUD (Neonatal Abstinence Syndrome tripled from 2010-2017 – 7x among AI/AN members)3
Low engagement in care (25% of live births have inadequate prenatal care – with pronounced disparity for AI/AN)4 ",https://uhgazure.sharepoint.com/:p:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/Wellhop/WMB%20Quarterly%203%202022.pptx?d=wce2126e2930a45bdaa2cc653217035b6&csf=1&web=1&e=hRhFmV,New in RFP,Differentiator,X,,,Perinatal Care Engagement,,,,Delivery Services & Support,,Member Support_Intervention,,Member support_Intervention,,,,,Yes,,,
Err:522,Dine Doula Collective,Dine Doula Collective (RFP Cat. #163),Committed,Kathryn Spiess ,,Statewide,Linda Atencio,Kathryn Spiess ,Member Services,"Partner with the Dine Doula Collective, a Navajo doula and breastfeeding organization, to build doula capacity in the Navajo Nation ",,Pregnant Women/ Native American,,"Rural barriers to care and maternity care deserts (34% of NM counties are maternity deserts)1
Clinical workforce shortage (50% of NM counties are below the national benchmark of OB-GYNs)2
High rates of perinatal SUD (Neonatal Abstinence Syndrome tripled from 2010-2017 – 7x among AI/AN members)3
Low engagement in care (25% of live births have inadequate prenatal care – with pronounced disparity for AI/AN)4 
Birth inequities (AI/AN and Black birthing people have highest maternal & infant mortality rates & least access to care)
Preventable postpartum mortality (60% of maternal deaths occur postpartum - rural regions have 2x rates compared to metro regions; primary causes of mortality are car accidents due to geographic isolation, BH conditions and overdose)6 ",NA ,New in RFP,Differentiator,X,,X,Doulas,Rural,,,Delivery Services & Support,,Member Support_Intervention,,Provider as partner_Generational change,,Workforce Development,,,,,,
Err:522,NM Doula Association ,NM Doula Association  (RFP Cat. #164),Committed,Kathryn Spiess ,,Statewide,Linda Atencio,Kathryn Spiess ,Member Services,"Partner with the NM Doula Association to offer full-spectrum in-person doula services to pregnant people statewide (current funding supports 2x annual projected demand) to improve birth outcomes and member experience, reduce racial/ethnic inequities for AI/AN and Black members, and close gaps in care.  ",,Pregnant Women/ Native American,"Collaborate with the NM Doula Association to expand and sustain doula capacity through development of indigenous doula trainings, mentorship programming, and workforce toolkits ","Rural barriers to care and maternity care deserts (34% of NM counties are maternity deserts)1
Clinical workforce shortage (50% of NM counties are below the national benchmark of OB-GYNs)2
High rates of perinatal SUD (Neonatal Abstinence Syndrome tripled from 2010-2017 – 7x among AI/AN members)3
Low engagement in care (25% of live births have inadequate prenatal care – with pronounced disparity for AI/AN)4 
Birth inequities (AI/AN and Black birthing people have highest maternal & infant mortality rates & least access to care)
Preventable postpartum mortality (60% of maternal deaths occur postpartum - rural regions have 2x rates compared to metro regions; primary causes of mortality are car accidents due to geographic isolation, BH conditions and overdose)6 ",NA ,New in RFP,Differentiator,X,,X,Doulas,Rural,,,Delivery Services & Support,,Member Support_Intervention,,Provider as partner_Generational change,,Workforce Development,<<Strategy 5>>,,,,,
Err:522,Changing Woman Initiative,Changing Woman Initiative (RFP Cat. #165),In Consideration,Kathryn Spiess ,,Statewide,Linda Atencio,Kathryn Spiess ,Member Services,"Plan to address AI/AN health equity, home-based care, rural access",,Pregnant Women/ Native American,,,,New in RFP,Differentiator,X,,X,Rural and Frontier Access to Care,,,,Delivery Services & Support,,Member Support_Intervention,,Provider as partner_Generational change,,,,,,,,
Err:522,OB-PCPi,OB-PCPi (RFP Cat. #166),In Consideration,Kathryn Spiess ,,Statewide,Linda Atencio,Kathryn Spiess ,Member Services,"Deploy OB-PCPi, an alternative payment model that incentivizes gap closures for pregnant and postpartum members with tiered incentives for addressing racial/ethnic gaps in care ",,Pregnant Women/ Native American,,,,New in RFP,Table Stakes,,X,,Perinatal Care Gap Closure,,,,Delivery Services & Support,,Member Support_Intervention,,Provider as partner_Generational change,,,,,,,,
Err:522,NM Perinatal Collaborative ,NM Perinatal Collaborative  (RFP Cat. #167),In Consideration,Kathryn Spiess ,,Statewide,Linda Atencio,Kathryn Spiess ,Member Services,"Support the NM Perinatal Collaborative to implement AIM SUD in Pregnancy Safety Bundle, SUD treatment resource mapping, and maternity provider education series ",,Pregnant Women/ Native American,,,,New in RFP,Differentiator,X,,X,Perinatal Care Gap Closure,Local Provider First,,,Delivery Services & Support,,Member Support_Intervention,,Provider as partner_Generational change,,Community Investment,Addressing SUD/OUD/AUD,,,,,
Err:522,Genoa Meds to Beds ,Genoa Meds to Beds  (RFP Cat. #168),In Consideration,Heidi Strickler,,Statewide,Tracy Townsend,,Value-Added Benefit,Recommend Peds Specific Hospital or integrated Hospital with dedicated Peds Unit),,Kids and Young Adults/ CISC,,,,New in RFP,Differentiator,X,,,,,,Empower Members,Delivery Services & Support,,,Supporting kids and Young Adults to thrive,,Empowering Kids/Young Adults to become their better self,,,,Confirm with heidi - No? ,,,
Err:522,Hyypogenic mattress & pillow ,Hyypogenic mattress & pillow  (RFP Cat. #169),Rejected,Will Teague,,Statewide,Tracy Townsend,,Value-Added Benefit,Hypogenic mattress & pillow covers for kids with asthma,Offering hyupogenic mattress and pllows could be beneficial for members located in the Souteast side of the State where we have higher rate of asthma hopitalization (Chaves and Lea Counties),Kids and Young Adults/ CISC,,,,New in RFP,Differentiator,X,,,,,,Empower Members,Delivery Services & Support,,,Supporting kids and Young Adults to thrive,,Empowering Kids/Young Adults to become their better self,,,,No,,,
Err:522,Optum Quit for Life ,Optum Quit for Life  (RFP Cat. #170),In Consideration,Optum,,Statewide,Tracy Townsend,,Value-Added Benefit,include specific Vaping component,,Kids and Young Adults/ CISC,,,,New in RFP,Differentiator,X,,,,,,Empower Members,Delivery Services & Support,,,Supporting kids and Young Adults to thrive,,Empowering Kids/Young Adults to become their better self,,,,Confirm with heidi - Yes?,,,
Err:522,National Association for Children of Addiction,National Association for Children of Addiction (RFP Cat. #171),In Consideration,Heidi Strickler,,Statewide,Tracy Townsend,,Value-Added Benefit,"Fund CBO position to run this program: National Association for Children of Addiction. Celebrating Families is a curriculum for families who have an adult member with a substance use disorder and children ages 0-17. The families participate in groups for kids ages 0-3, 4-7, and older children by developmental age. Families learn better communication skills, how to appropriately express feelings, including anger, problem solving and decision-making skills, and developing coping skills to deal with stress. (Full strategy needs to be built)",Helps children and families ameliorate the effects of substance use to help decrease diseases of despair by building on family resilience and coping skills.,Kids and Young Adults/ CISC,"Drive progress to NM Core Quality Measures:
1. IMA (immunizations for adolescents)
2. W30 ( well child visits in first 30 months of life)
3. CIS (childhood immunization status)
4. WCV - Child and Adolescent Well Care Visits",Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,https://nacoa.org/celebrating-families/,New in RFP,Differentiator,X,,,,,,Empower Members,Delivery Services & Support,,,Supporting kids and Young Adults to thrive,,Empowering Kids/Young Adults to become their better self,,Addressing SUD/OUD/AUD,,Confirm with heidi - No? ,,,
